                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.46359,                0.73924,                 1.9162,                 0.8955,                0.72683,                0.76613,                0.81858,                0.74841,                0.70684,                0.74196,                0.79971,                0.71778,                0.45672,                0.97374,                  1.194,                0.83743,             0.00015787,             0.00015787,             0.00015787
                      2,                0.40246,                0.56415,                0.81726,                0.85514,                0.76789,                 0.8307,                0.87664,                0.79742,                0.76789,                 0.8307,                0.87484,                0.78206,                0.45644,                0.71897,                0.94943,                 0.8258,             0.00030609,             0.00030609,             0.00030609
                      3,                0.40193,                0.55223,                0.65519,                0.84863,                0.77405,                0.71303,                0.76782,                0.68407,                0.77405,                0.71303,                 0.7603,                0.66724,                0.49005,                 1.0135,                 1.3386,                0.84887,             0.00044384,             0.00044384,             0.00044384
                      4,                0.38707,                0.50985,                0.56983,                0.84174,                0.86509,                0.76114,                0.87519,                0.81067,                0.86509,                0.76114,                0.87649,                0.78099,                0.45805,                0.82383,                0.93855,                0.85321,             0.00042888,             0.00042888,             0.00042888
                      5,                0.37567,                0.46937,                0.52006,                0.84923,                 0.9122,                0.80524,                 0.8915,                0.81456,                 0.9122,                0.80524,                0.88623,                0.77938,                0.45334,                0.95404,                0.92223,                0.84611,             0.00041317,             0.00041317,             0.00041317
                      6,                 0.3615,                0.45629,                0.44424,                  0.841,                0.85171,                0.78731,                 0.8383,                0.75695,                0.85171,                0.78731,                0.83718,                0.72139,                0.47179,                 1.0736,                0.89614,                0.85759,             0.00039746,             0.00039746,             0.00039746
                      7,                0.36692,                0.45401,                0.40017,                0.83343,                 0.8734,                0.83657,                0.89807,                0.82595,                 0.8734,                0.83657,                0.89785,                0.78571,                0.47492,                 1.0434,                0.71872,                0.86024,             0.00038175,             0.00038175,             0.00038175
                      8,                0.36833,                 0.4525,                0.40454,                0.84339,                 0.8797,                0.79729,                0.84806,                0.76979,                 0.8797,                0.79729,                 0.8501,                0.74463,                0.47496,                 1.0973,                0.72329,                0.86501,             0.00036604,             0.00036604,             0.00036604
                      9,                0.35101,                0.44765,                0.35581,                0.83602,                0.89529,                0.77418,                0.84663,                0.75805,                0.89529,                0.77418,                 0.8398,                0.74561,                0.45889,                 1.0553,                0.78677,                0.85711,             0.00035034,             0.00035034,             0.00035034
                     10,                0.33643,                0.41253,                 0.3476,                 0.8289,                0.86362,                0.74002,                0.84537,                0.77155,                0.86362,                0.74002,                0.84134,                0.75162,                0.46933,                  1.202,                0.87609,                0.86587,             0.00033463,             0.00033463,             0.00033463
