                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 0.3287,                0.40691,                0.32737,                0.82629,                0.82781,                0.83052,                0.86323,                 0.8003,                0.82781,                0.83052,                0.86656,                0.77905,                0.46243,                 1.0309,                0.69843,                0.85103,             0.00031892,             0.00031892,             0.00031892
                     12,                0.33123,                0.41475,                0.33313,                 0.8252,                0.82876,                0.74887,                0.84991,                0.78649,                0.82876,                0.74887,                0.84991,                0.77316,                0.45251,                0.83098,                0.90548,                0.86803,             0.00030321,             0.00030321,             0.00030321
                     13,                0.32307,                0.39882,                0.30786,                0.82615,                0.86469,                0.80005,                0.86439,                0.79424,                0.86469,                0.80005,                0.86545,                 0.7781,                0.48049,                0.79669,                0.67809,                0.86026,              0.0002875,              0.0002875,              0.0002875
                     14,                0.31822,                 0.4063,                0.30352,                0.82611,                0.75177,                 0.8998,                0.87846,                 0.8152,                 0.8366,                0.78084,                0.87392,                0.78946,                0.45195,                0.91461,                0.76313,                0.84635,              0.0002718,              0.0002718,              0.0002718
                     15,                0.31944,                0.40143,                0.30209,                0.82579,                0.82556,                0.87231,                0.86609,                0.80068,                0.83262,                0.86111,                0.86898,                 0.7713,                0.46979,                 1.0952,                0.80034,                0.85793,             0.00025609,             0.00025609,             0.00025609
                     16,                0.30316,                0.38778,                0.27764,                0.81668,                 0.8412,                0.86452,                0.91982,                0.85749,                 0.8412,                0.86452,                0.91271,                0.83377,                0.41587,                0.96124,                0.78668,                 0.8152,             0.00024038,             0.00024038,             0.00024038
                     17,                0.30889,                0.39207,                0.27989,                0.81623,                0.81647,                0.88256,                0.89204,                0.82689,                    0.8,                0.86978,                0.87646,                0.78572,                0.41803,                 1.0069,                0.72194,                0.81576,             0.00022467,             0.00022467,             0.00022467
                     18,                0.29736,                0.37104,                0.27258,                0.81727,                0.82714,                0.87677,                0.88467,                0.81788,                0.81359,                0.86232,                0.86511,                0.79331,                0.43749,                0.93558,                 0.8143,                0.84675,             0.00020896,             0.00020896,             0.00020896
                     19,                0.29877,                0.37012,                0.26757,                0.81769,                 0.8936,                0.77538,                0.85635,                0.78916,                 0.8936,                0.77538,                0.85492,                0.76378,                0.43525,                 1.0224,                0.97086,                0.82804,             0.00019326,             0.00019326,             0.00019326
                     20,                0.29769,                0.37658,                0.26145,                0.81704,                 0.8312,                0.82194,                0.88384,                0.81789,                 0.8312,                0.82194,                0.88923,                0.79767,                0.42479,                 1.0571,                0.82364,                0.83481,             0.00017755,             0.00017755,             0.00017755
                     21,                0.26837,                0.34801,                0.21593,                 0.7967,                0.80653,                0.76842,                0.82186,                0.74138,                0.80653,                0.76842,                0.81624,                 0.7222,                 0.4706,                 1.1169,                 1.0179,                0.86051,             0.00016184,             0.00016184,             0.00016184
                     22,                0.26225,                0.33445,                0.20497,                0.79463,                0.88217,                 0.7951,                0.86404,                 0.7857,                0.85738,                0.82017,                0.87205,                0.76275,                  0.417,                 1.1764,                0.68209,                0.83439,             0.00014613,             0.00014613,             0.00014613
                     23,                0.25898,                0.33345,                0.19855,                0.79939,                0.76103,                0.89855,                 0.8638,                 0.7924,                0.76677,                0.90492,                 0.8752,                 0.7774,                 0.4601,                 1.1676,                0.83849,                0.87466,             0.00013042,             0.00013042,             0.00013042
                     24,                0.25269,                0.32719,                0.19244,                0.79722,                0.88629,                0.75747,                0.83969,                0.78283,                0.89694,                0.76501,                0.84736,                 0.7474,                0.43947,                 1.1856,                0.93014,                0.86641,             0.00011472,             0.00011472,             0.00011472
                     25,                0.24944,                0.31866,                 0.1894,                0.79216,                0.89017,                0.78546,                0.84046,                0.75911,                0.90095,                0.79181,                0.84362,                0.74125,                0.45611,                 1.1956,                0.74991,                0.88399,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     26,                0.24561,                0.31977,                0.18241,                0.79303,                0.87692,                0.79683,                0.85829,                 0.7907,                0.88544,                0.80271,                0.86726,                 0.7674,                0.47864,                 1.1823,                0.76301,                0.89524,               8.33e-05,               8.33e-05,               8.33e-05
                     27,                0.23781,                0.30983,                0.17615,                 0.7927,                0.87009,                0.78948,                0.86071,                0.78571,                0.90984,                0.77399,                0.86498,                  0.768,                0.50516,                 1.0864,                0.82737,                0.91824,             6.7592e-05,             6.7592e-05,             6.7592e-05
                     28,                0.23597,                0.31315,                0.17238,                0.79097,                0.89175,                0.78244,                0.86927,                0.79161,                0.89424,                0.79889,                0.87657,                0.77313,                0.49007,                 1.0538,                0.79509,                0.90556,             5.1884e-05,             5.1884e-05,             5.1884e-05
                     29,                0.23128,                0.31205,                0.16939,                0.78301,                0.89784,                0.77735,                0.86978,                0.79819,                0.89981,                0.79519,                0.87464,                0.77874,                0.48386,                 1.0835,                0.73679,                0.89563,             3.6176e-05,             3.6176e-05,             3.6176e-05
                     30,                0.22474,                 0.3048,                0.16355,                0.78073,                0.86909,                0.80986,                 0.8725,                0.79927,                0.92704,                0.77398,                0.86766,                0.78025,                 0.4929,                  1.062,                0.80797,                0.90817,             2.0468e-05,             2.0468e-05,             2.0468e-05
