                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66131,                   1.18,                 2.5328,                0.95143,                0.79334,                0.80833,                0.86782,                0.78968,                0.79236,                0.80569,                0.86555,                0.72344,                0.42795,                0.67013,                 1.4534,                0.84005,             0.00015232,             0.00015232,             0.00015232
                      2,                 0.5043,                0.70126,                0.89949,                0.86004,                0.92172,                0.90237,                0.96793,                0.89329,                0.92151,                0.90256,                0.96807,                0.82426,                0.40745,                0.56804,                0.66336,                0.82211,             0.00029919,             0.00029919,             0.00029919
                      3,                0.48607,                 0.6284,                0.70741,                0.85526,                0.95088,                 0.9423,                0.98137,                0.90398,                0.95013,                 0.9412,                 0.9803,                0.83754,                0.40726,                0.52644,                   0.53,                0.81697,             0.00043569,             0.00043569,             0.00043569
                      4,                0.48841,                0.61074,                0.62217,                 0.8449,                0.95814,                0.97221,                0.99022,                0.91928,                0.95888,                0.97293,                0.99037,                0.84952,                0.39027,                0.47766,                0.45155,                0.81089,             0.00042888,             0.00042888,             0.00042888
                      5,                  0.455,                0.57752,                 0.5445,                0.83796,                0.96924,                0.97923,                0.99029,                0.92742,                 0.9692,                0.97891,                0.99036,                  0.848,                0.37225,                0.46324,                0.40253,                0.80461,             0.00041317,             0.00041317,             0.00041317
                      6,                0.44095,                 0.5173,                0.48667,                0.82854,                0.98229,                0.98064,                0.99139,                0.93038,                0.98332,                0.98167,                0.99191,                0.84929,                0.37038,                0.44465,                0.38155,                0.80379,             0.00039746,             0.00039746,             0.00039746
                      7,                0.42187,                0.52305,                0.46361,                0.83008,                0.98282,                0.98767,                0.99262,                0.93985,                0.98225,                0.98923,                0.99296,                 0.8627,                0.34461,                0.44005,                0.36075,                0.79718,             0.00038175,             0.00038175,             0.00038175
                      8,                0.41964,                0.50544,                0.42878,                0.82792,                0.98405,                0.98835,                0.99312,                0.94094,                0.98542,                0.98971,                0.99377,                0.86302,                 0.3451,                0.43263,                0.33701,                0.79483,             0.00036604,             0.00036604,             0.00036604
                      9,                0.41636,                0.51056,                0.41677,                0.82802,                0.98743,                0.98996,                0.99386,                0.93943,                0.98743,                0.98996,                0.99441,                0.86499,                0.34907,                0.42479,                0.32442,                  0.794,             0.00035034,             0.00035034,             0.00035034
                     10,                0.41137,                0.48925,                 0.3974,                0.82543,                0.99084,                0.99293,                0.99372,                0.93795,                0.99055,                 0.9927,                0.99399,                0.86675,                 0.3475,                0.43095,                0.31692,                0.79254,             0.00033463,             0.00033463,             0.00033463
                     11,                0.39213,                0.48349,                0.38273,                0.82146,                 0.9938,                0.99293,                0.99397,                0.95355,                0.99336,                0.99312,                0.99449,                0.86493,                0.30964,                0.41499,                0.28747,                0.78584,             0.00031892,             0.00031892,             0.00031892
                     12,                0.39038,                0.47546,                0.37093,                0.81847,                0.99275,                0.99588,                0.99459,                0.95112,                0.99277,                0.99602,                0.99474,                0.86506,                0.31761,                0.38586,                0.29248,                0.78785,             0.00030321,             0.00030321,             0.00030321
                     13,                0.40089,                0.46895,                0.36691,                0.81848,                 0.9936,                0.99523,                0.99461,                 0.9552,                0.99366,                0.99557,                0.99477,                0.87297,                 0.3091,                0.36541,                0.27239,                0.78562,              0.0002875,              0.0002875,              0.0002875
                     14,                0.37451,                0.44592,                0.34581,                0.81431,                0.99249,                 0.9973,                0.99452,                0.95763,                0.99282,                0.99764,                0.99452,                0.88284,                0.30392,                 0.3687,                0.27266,                0.78383,              0.0002718,              0.0002718,              0.0002718
                     15,                0.36349,                0.46062,                0.33759,                0.81158,                0.99331,                0.99698,                0.99486,                0.96107,                0.99331,                0.99698,                0.99482,                0.88298,                0.28943,                 0.3791,                0.26404,                 0.7805,             0.00025609,             0.00025609,             0.00025609
                     16,                0.35445,                0.43625,                 0.3241,                0.80453,                 0.9936,                0.99651,                0.99482,                0.96295,                0.99349,                0.99657,                0.99481,                0.89241,                0.29362,                0.36801,                0.25297,                0.78091,             0.00024038,             0.00024038,             0.00024038
                     17,                0.35866,                0.44104,                0.32502,                0.80892,                0.99341,                 0.9969,                0.99468,                0.96879,                0.99272,                0.99624,                0.99464,                0.88322,                0.27719,                0.35941,                0.25316,                0.77826,             0.00022467,             0.00022467,             0.00022467
                     18,                0.36108,                0.43343,                 0.3217,                0.81424,                0.99467,                0.99835,                0.99475,                0.96934,                0.99433,                0.99801,                0.99474,                 0.8819,                0.27689,                0.35343,                0.24502,                0.77764,             0.00020896,             0.00020896,             0.00020896
                     19,                0.35553,                0.42136,                0.31331,                0.80831,                0.99522,                0.99791,                0.99498,                0.96911,                0.99496,                0.99697,                0.99497,                 0.8818,                0.26917,                0.36042,                0.23278,                0.77566,             0.00019326,             0.00019326,             0.00019326
                     20,                 0.3453,                0.40969,                0.30537,                0.81363,                 0.9957,                0.99764,                0.99499,                0.97167,                0.99496,                0.99728,                0.99497,                0.88929,                0.26389,                0.35145,                0.22988,                0.77498,             0.00017755,             0.00017755,             0.00017755
                     21,                0.31232,                0.38314,                0.27321,                0.79525,                0.99383,                0.99827,                0.99497,                0.96922,                0.99383,                0.99827,                0.99497,                0.88795,                0.27315,                0.35376,                0.23204,                0.77512,             0.00016184,             0.00016184,             0.00016184
                     22,                0.32057,                0.39411,                 0.2769,                0.79099,                0.99474,                0.99676,                0.99495,                0.96821,                0.99474,                0.99676,                0.99495,                0.88773,                0.27124,                0.34453,                0.23533,                0.77525,             0.00014613,             0.00014613,             0.00014613
                     23,                0.30853,                0.38493,                0.26831,                0.79146,                0.99584,                0.99708,                0.99499,                0.97092,                0.99584,                0.99708,                0.99499,                0.88424,                0.26638,                0.35134,                0.23268,                0.77445,             0.00013042,             0.00013042,             0.00013042
                     24,                0.30324,                0.37503,                0.26122,                0.79066,                0.99528,                0.99614,                0.99497,                  0.971,                0.99487,                0.99648,                0.99497,                0.88349,                0.26693,                0.35112,                0.22768,                0.77414,             0.00011472,             0.00011472,             0.00011472
                     25,                0.29875,                0.37602,                0.25431,                0.79125,                0.99698,                0.99555,                0.99498,                0.97413,                0.99689,                0.99574,                0.99498,                0.88805,                 0.2572,                 0.3422,                0.22206,                 0.7728,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     26,                0.29089,                0.36972,                0.24662,                0.78634,                0.99633,                0.99773,                0.99499,                0.97472,                 0.9964,                0.99794,                  0.995,                0.89158,                0.25742,                0.33844,                0.21726,                0.77281,               8.33e-05,               8.33e-05,               8.33e-05
                     27,                0.28399,                0.36365,                0.24018,                0.78919,                0.99747,                0.99664,                0.99499,                0.97637,                0.99746,                0.99681,                  0.995,                0.88523,                0.25263,                0.33567,                0.21407,                0.77209,             6.7592e-05,             6.7592e-05,             6.7592e-05
                     28,                0.29033,                  0.375,                0.24104,                0.78783,                0.99666,                0.99667,                0.99499,                0.97675,                0.99674,                0.99688,                  0.995,                  0.894,                 0.2449,                0.32641,                0.20889,                0.77063,             5.1884e-05,             5.1884e-05,             5.1884e-05
                     29,                0.28047,                 0.3565,                0.23323,                0.78848,                0.99711,                0.99694,                0.99499,                0.97744,                 0.9972,                0.99725,                  0.995,                0.89012,                0.24333,                 0.3248,                0.20491,                0.77061,             3.6176e-05,             3.6176e-05,             3.6176e-05
                     30,                0.27349,                0.34846,                 0.2254,                 0.7865,                0.99719,                0.99733,                0.99499,                 0.9777,                0.99725,                0.99764,                  0.995,                0.89021,                0.23935,                0.32411,                0.20105,                0.76945,             2.0468e-05,             2.0468e-05,             2.0468e-05
