                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                0.35334,                0.41658,                0.33405,                0.80947,                 0.8068,                0.78557,                0.85297,                0.75132,                 0.8068,                0.78557,                0.84462,                 0.7029,                0.51397,                 1.0078,                0.68379,                0.88141,             0.00030321,             0.00030321,             0.00030321
                     13,                0.34335,                0.40767,                0.31983,                0.80865,                0.87796,                0.77774,                0.84882,                0.74989,                0.87796,                0.77774,                0.83515,                0.70542,                0.51011,                0.97584,                0.65772,                0.88416,              0.0002875,              0.0002875,              0.0002875
                     14,                0.33364,                0.40176,                0.31465,                0.80366,                0.88809,                0.77319,                0.84878,                0.76408,                0.88809,                0.77319,                0.84098,                0.71109,                0.47826,                0.90515,                0.62398,                0.85332,              0.0002718,              0.0002718,              0.0002718
                     15,                0.33278,                 0.3921,                0.31153,                0.81105,                0.84428,                0.78468,                0.83728,                0.75393,                0.84428,                0.78468,                0.83373,                0.69125,                0.50652,                 1.0413,                0.72017,                0.88042,             0.00025609,             0.00025609,             0.00025609
                     16,                0.33581,                0.39296,                0.30529,                  0.807,                0.86642,                0.72094,                0.80339,                0.71544,                0.86642,                0.72094,                 0.8003,                 0.6627,                0.51632,                 1.0861,                 0.7659,                0.88627,             0.00024038,             0.00024038,             0.00024038
                     17,                 0.3222,                0.37775,                0.28828,                0.80011,                0.90116,                0.76321,                 0.8334,                0.74584,                0.90116,                0.76321,                0.83675,                0.69462,                0.49509,                 1.0018,                0.63623,                0.87005,             0.00022467,             0.00022467,             0.00022467
                     18,                0.32658,                0.39052,                0.28412,                0.80252,                0.90637,                0.74926,                0.82321,                0.73424,                0.90637,                0.74926,                0.82381,                0.69155,                0.53448,                 1.0541,                0.70604,                 0.8959,             0.00020896,             0.00020896,             0.00020896
                     19,                0.32515,                0.38594,                 0.2787,                0.80698,                0.89818,                0.75852,                0.81407,                0.72342,                   0.85,                0.77055,                0.80695,                0.67956,                0.55194,                  1.065,                0.74031,                0.89962,             0.00019326,             0.00019326,             0.00019326
                     20,                0.30763,                 0.3725,                0.27445,                0.80445,                0.90207,                0.72503,                0.81793,                 0.7276,                0.90207,                0.72503,                0.81463,                0.68258,                0.54162,                 1.0096,                0.71075,                0.89419,             0.00017755,             0.00017755,             0.00017755
                     21,                0.29071,                0.36417,                 0.2406,                 0.7914,                0.77734,                0.80752,                0.80746,                0.72419,                0.77734,                0.80752,                0.81371,                0.68489,                0.54079,                 1.0157,                0.66267,                0.88468,             0.00016184,             0.00016184,             0.00016184
                     22,                0.28223,                 0.3461,                0.23155,                0.78584,                0.90231,                 0.7824,                0.82065,                0.74259,                0.90231,                 0.7824,                0.82105,                0.69425,                0.50237,                 1.0668,                0.59606,                0.87398,             0.00014613,             0.00014613,             0.00014613
                     23,                0.27425,                0.33903,                  0.225,                0.78571,                0.72609,                0.81915,                0.80692,                0.72908,                0.73123,                0.81167,                0.80579,                0.67812,                0.51976,                 1.0769,                0.69419,                0.88173,             0.00013042,             0.00013042,             0.00013042
                     24,                0.27499,                0.33488,                0.22279,                 0.7865,                0.88829,                0.76801,                0.82671,                0.74652,                0.88829,                0.76801,                0.82515,                0.69182,                0.52046,                 1.0163,                0.62914,                0.87628,             0.00011472,             0.00011472,             0.00011472
                     25,                0.27174,                0.33874,                0.21628,                0.78298,                0.88095,                0.76826,                0.82842,                0.74728,                0.88095,                0.76826,                0.82683,                 0.6927,                0.50698,                0.99132,                0.64114,                0.87185,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     26,                0.26198,                0.33212,                0.20761,                0.78089,                0.87675,                0.77024,                0.82364,                0.73965,                0.87675,                0.77024,                0.82295,                0.68856,                0.49727,                0.97678,                0.63775,                0.86776,               8.33e-05,               8.33e-05,               8.33e-05
                     27,                0.25653,                0.32415,                 0.2028,                0.78326,                0.88726,                0.76444,                0.83018,                0.74516,                0.88726,                0.76444,                0.82864,                0.69174,                0.51291,                 1.0347,                0.62849,                0.87353,             6.7592e-05,             6.7592e-05,             6.7592e-05
                     28,                0.25351,                0.31681,                0.19989,                0.78189,                 0.8691,                0.77919,                0.82486,                0.73475,                 0.8691,                0.77919,                0.82575,                0.69374,                0.53901,                 1.1412,                0.67585,                0.90154,             5.1884e-05,             5.1884e-05,             5.1884e-05
                     29,                0.25358,                0.31907,                0.19845,                0.78298,                0.88471,                0.77921,                0.83123,                0.75044,                0.88471,                0.77921,                 0.8274,                0.70237,                0.52539,                 1.1121,                0.65207,                0.88866,             3.6176e-05,             3.6176e-05,             3.6176e-05
                     30,                0.24461,                0.31406,                0.19225,                0.78046,                0.88858,                0.77489,                0.83638,                 0.7579,                0.88858,                0.77489,                0.83776,                0.70229,                0.51313,                 1.0709,                0.65499,                0.88347,             2.0468e-05,             2.0468e-05,             2.0468e-05
