                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58275,                0.91275,                 2.1586,                0.90725,                0.49626,                0.69728,                0.61478,                0.54049,                0.49626,                0.69728,                0.61087,                0.51408,                0.56508,                 1.1828,                  1.707,                 0.8775,             0.00015549,             0.00015549,             0.00015549
                      2,                0.44782,                0.58776,                0.75284,                0.84551,                0.74215,                0.80612,                0.82428,                0.73992,                0.74215,                0.80612,                0.82022,                0.67595,                0.53348,                 1.0002,                0.87139,                0.85783,             0.00030379,             0.00030379,             0.00030379
                      3,                0.44412,                0.56314,                0.59103,                0.83173,                0.86038,                0.72382,                0.78963,                0.69742,                0.86038,                0.72382,                0.78487,                0.64397,                0.52142,                 1.2057,                0.85411,                0.85558,             0.00044162,             0.00044162,             0.00044162
                      4,                0.45598,                0.55797,                0.54321,                0.83581,                0.82643,                0.74752,                0.80951,                0.71739,                0.83273,                0.74238,                0.80152,                0.66501,                0.57046,                 1.2257,                0.86396,                 0.8856,             0.00042888,             0.00042888,             0.00042888
                      5,                0.40346,                0.49093,                0.46123,                0.82654,                0.89421,                0.75218,                0.83132,                0.74563,                0.89421,                0.75218,                0.82659,                0.68701,                0.51821,                 1.0505,                0.75052,                0.85266,             0.00041317,             0.00041317,             0.00041317
                      6,                0.39971,                0.47164,                0.42956,                0.81813,                0.77377,                 0.8166,                0.82663,                0.73264,                0.77272,                0.81096,                 0.8234,                 0.6781,                0.55367,                 1.1822,                0.75133,                0.87655,             0.00039746,             0.00039746,             0.00039746
                      7,                0.40146,                0.47108,                 0.4178,                0.82081,                0.83655,                0.78839,                 0.8202,                0.72141,                0.81444,                 0.8187,                0.82102,                  0.658,                0.54313,                  1.076,                0.72338,                0.88018,             0.00038175,             0.00038175,             0.00038175
                      8,                0.38515,                0.44439,                0.39416,                0.82018,                0.88819,                0.77192,                0.81278,                0.72921,                0.90291,                0.75835,                0.81074,                0.66237,                0.53523,                 1.1422,                0.74607,                0.88891,             0.00036604,             0.00036604,             0.00036604
                      9,                0.36688,                0.44857,                0.36644,                0.81461,                0.86957,                0.76686,                0.82845,                0.72962,                0.86957,                0.76686,                0.83227,                0.67687,                 0.5573,                 1.1035,                0.76354,                0.89299,             0.00035034,             0.00035034,             0.00035034
                     10,                0.35596,                0.42349,                 0.3549,                0.80773,                0.88677,                0.79881,                0.83959,                0.75239,                0.88841,                0.80509,                0.83676,                0.68619,                0.48616,                 1.0185,                0.61775,                0.85753,             0.00033463,             0.00033463,             0.00033463
                     11,                0.35818,                0.43481,                0.33906,                0.81034,                0.90031,                0.77627,                0.91068,                0.81543,                0.85138,                 0.8211,                0.90053,                0.74526,                0.50063,                0.93874,                0.61804,                0.86118,             0.00031892,             0.00031892,             0.00031892
