                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.46844,                0.77401,                 1.9879,                0.90057,                0.60338,                0.75346,                0.73525,                0.66415,                0.61911,                0.73825,                0.73131,                0.63206,                 0.4909,                 1.0734,                  1.509,                0.87614,             0.00015787,             0.00015787,             0.00015787
                      2,                0.41307,                0.59593,                 0.8635,                0.86078,                  0.694,                0.86842,                0.82461,                0.74597,                0.68489,                  0.858,                0.81678,                0.71045,                0.51765,                 1.0684,                 1.1864,                0.86481,             0.00030609,             0.00030609,             0.00030609
                      3,                0.41968,                0.55988,                0.70064,                0.85185,                 0.7522,                0.71799,                0.75271,                0.67629,                0.74386,                0.71194,                0.73918,                0.64643,                0.59853,                 1.3075,                 1.2302,                0.93602,             0.00044384,             0.00044384,             0.00044384
                      4,                0.40918,                0.53684,                0.59394,                 0.8457,                0.79885,                0.75221,                0.80767,                0.72849,                0.79756,                0.72839,                0.79488,                0.69713,                0.48336,                 1.3263,                  1.085,                0.86739,             0.00042888,             0.00042888,             0.00042888
                      5,                0.39395,                0.49648,                0.51072,                0.85237,                0.77798,                0.73075,                0.78562,                0.71204,                0.76293,                0.74152,                0.77917,                0.68935,                0.53857,                 1.2889,                0.96116,                 0.9143,             0.00041317,             0.00041317,             0.00041317
                      6,                0.37651,                0.46496,                0.46259,                0.84556,                 0.7389,                0.76448,                0.78828,                0.70425,                0.73154,                0.75661,                0.77832,                0.68845,                0.54834,                 1.2248,                 1.0957,                0.92249,             0.00039746,             0.00039746,             0.00039746
                      7,                0.37897,                0.47097,                0.42233,                0.84016,                0.87645,                0.71898,                0.79754,                0.72347,                0.87645,                0.71898,                0.79339,                0.70125,                0.52071,                 1.0543,                0.93098,                0.89788,             0.00038175,             0.00038175,             0.00038175
                      8,                0.36952,                 0.4567,                0.40752,                0.83863,                0.85582,                0.77545,                0.82297,                0.73997,                0.85749,                0.77433,                0.81016,                0.71413,                0.53918,                 1.1562,                0.90397,                 0.9204,             0.00036604,             0.00036604,             0.00036604
                      9,                0.35727,                0.43155,                0.37571,                0.83473,                0.75182,                0.72997,                0.77886,                0.71574,                0.75182,                0.72997,                0.77564,                0.69397,                0.50132,                 1.1635,                 1.0653,                0.87198,             0.00035034,             0.00035034,             0.00035034
                     10,                0.35185,                0.43883,                0.37252,                0.83393,                0.88342,                0.71804,                0.79313,                0.72655,                0.89545,                0.72585,                0.78422,                0.70858,                0.50284,                 1.0869,                 1.0882,                0.88047,             0.00033463,             0.00033463,             0.00033463
                     11,                0.34291,                0.42606,                0.33845,                0.82745,                0.84719,                0.72258,                0.79652,                0.73246,                0.86346,                0.71912,                0.79405,                0.70724,                0.50707,                 1.2707,                 1.1343,                0.86743,             0.00031892,             0.00031892,             0.00031892
                     12,                0.34593,                0.42468,                0.34444,                0.82904,                0.87541,                0.78894,                0.83692,                0.76172,                0.87541,                0.78894,                0.83153,                0.75227,                0.50702,                0.90792,                0.91608,                0.85163,             0.00030321,             0.00030321,             0.00030321
                     13,                0.33385,                0.40988,                0.32517,                0.82742,                0.83598,                0.73524,                0.77556,                0.71297,                0.83598,                0.73524,                0.77556,                0.69866,                0.50486,                 1.0253,                 1.1907,                0.89044,              0.0002875,              0.0002875,              0.0002875
                     14,                0.33391,                0.41163,                 0.3255,                0.83164,                0.87063,                0.73687,                0.81058,                0.74845,                0.87063,                0.73687,                0.79919,                0.73082,                0.47244,                 1.0977,                 1.1125,                0.85165,              0.0002718,              0.0002718,              0.0002718
                     15,                0.32629,                0.40865,                0.32207,                0.82739,                0.89001,                0.73588,                0.79384,                0.72457,                0.89001,                0.73588,                0.78473,                0.69369,                0.46639,                 1.1567,                 1.0259,                0.83722,             0.00025609,             0.00025609,             0.00025609
                     16,                0.31215,                 0.3872,                0.28985,                0.81673,                0.88403,                0.73769,                0.82453,                0.75015,                0.88403,                0.73769,                0.81185,                0.72972,                0.49004,                  1.087,                0.97509,                0.85953,             0.00024038,             0.00024038,             0.00024038
                     17,                0.31468,                0.38879,                0.29327,                0.81984,                0.87645,                0.70353,                0.81096,                0.74343,                0.87645,                0.70353,                0.81096,                0.72309,                0.46409,                  1.015,                 1.1078,                0.85404,             0.00022467,             0.00022467,             0.00022467
                     18,                0.31134,                0.38853,                0.29011,                0.81709,                0.86235,                0.75031,                0.82355,                0.74727,                0.86235,                0.75031,                0.81686,                0.73512,                0.42572,                 1.0657,                0.94189,                0.83588,             0.00020896,             0.00020896,             0.00020896
                     19,                0.30389,                0.37739,                0.28306,                0.81409,                0.88143,                0.70762,                0.80308,                0.73455,                0.88143,                0.70762,                 0.7978,                0.70548,                  0.466,                  1.317,                 1.0922,                0.86744,             0.00019326,             0.00019326,             0.00019326
                     20,                 0.3002,                0.37969,                0.26651,                  0.815,                0.85528,                0.73757,                0.79685,                0.73214,                0.86725,                0.74527,                0.80837,                0.71909,                 0.5032,                  1.136,                 1.2015,                0.90005,             0.00017755,             0.00017755,             0.00017755
                     21,                0.27032,                0.35357,                0.21649,                  0.795,                0.87462,                0.72663,                0.76741,                0.71185,                0.87462,                0.72663,                0.76584,                0.69669,                0.49643,                 1.1417,                 1.2077,                0.88107,             0.00016184,             0.00016184,             0.00016184
                     22,                0.26896,                0.33987,                 0.2142,                0.79262,                0.86806,                0.75627,                0.79931,                0.74383,                0.87859,                0.76391,                0.80086,                0.72457,                0.44398,                 0.9575,                0.95111,                0.85492,             0.00014613,             0.00014613,             0.00014613
                     23,                0.26292,                 0.3388,                0.20433,                0.79922,                0.89269,                0.70792,                0.78368,                0.73737,                0.89269,                0.70792,                0.78368,                0.71738,                0.45398,                0.90151,                 1.0562,                0.85027,             0.00013042,             0.00013042,             0.00013042
                     24,                0.26233,                0.33091,                0.20409,                0.79703,                0.88398,                0.74926,                0.83038,                0.76248,                  0.896,                0.75698,                0.83082,                0.74503,                0.44026,                0.84585,                0.94356,                0.84442,             0.00011472,             0.00011472,             0.00011472
                     25,                 0.2614,                0.32954,                0.20014,                0.79476,                0.90614,                0.73523,                0.80189,                 0.7487,                0.90614,                0.73523,                0.80324,                0.73681,                0.47072,                0.97674,                 1.1183,                0.87094,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     26,                0.24847,                0.32141,                0.18552,                0.79189,                0.93131,                0.73031,                0.79666,                 0.7415,                 0.9436,                0.73812,                 0.8073,                0.72801,                0.47527,                 1.0566,                 1.1509,                0.88012,               8.33e-05,               8.33e-05,               8.33e-05
                     27,                0.23941,                0.31275,                0.17716,                0.79237,                0.91208,                0.73649,                0.81819,                0.76168,                0.92439,                 0.7442,                0.82207,                0.73897,                0.46405,                 1.0629,                 1.1463,                0.87387,             6.7592e-05,             6.7592e-05,             6.7592e-05
