                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95589,                 1.9905,                  4.508,                 1.0661,                0.01847,                0.18585,                0.02286,                0.01672,                0.01731,                0.18498,                 0.0202,                0.01649,                0.93532,                  1.959,                 4.5697,                 1.1003,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                0.88828,                 1.9235,                 4.3576,                 1.0567,                0.27083,                0.14566,                0.09784,                0.08226,                0.28288,                0.13418,                0.09746,                0.07648,                0.69344,                 1.4755,                 3.5238,                 0.9495,             3.0021e-05,             3.0021e-05,             3.0021e-05
                      3,                0.71019,                  1.394,                 3.3895,                0.95596,                0.25218,                0.26646,                0.22313,                0.19695,                0.22002,                0.28046,                0.21898,                0.17832,                 0.6126,                 1.2998,                 2.6696,                0.92051,             4.1993e-05,             4.1993e-05,             4.1993e-05
                      4,                0.64459,                 1.3214,                 2.5597,                0.92382,                0.46626,                 0.4539,                0.44645,                0.40121,                0.46644,                0.45555,                0.44726,                0.35856,                0.54413,                 1.1402,                 1.9908,                0.89032,             5.0194e-05,             5.0194e-05,             5.0194e-05
                      5,                0.63242,                 1.1157,                 1.9012,                0.91854,                0.65425,                0.55749,                0.60555,                0.54844,                0.65581,                 0.5598,                0.60517,                0.49617,                0.50402,                0.98598,                 1.7483,                0.86904,             5.4626e-05,             5.4626e-05,             5.4626e-05
                      6,                0.54916,                0.96739,                 1.4927,                0.86932,                0.61112,                0.62538,                0.64633,                0.58516,                0.61276,                0.62769,                0.64544,                0.52765,                0.49853,                 0.9424,                 1.6402,                0.86184,             5.5287e-05,             5.5287e-05,             5.5287e-05
                      7,                 0.5251,                0.92074,                  1.299,                0.86937,                0.73067,                0.63106,                0.72498,                  0.654,                0.73067,                0.63106,                0.72343,                0.59333,                0.47959,                0.85106,                 1.2885,                0.84848,             5.2179e-05,             5.2179e-05,             5.2179e-05
                      8,                0.56838,                0.92961,                 1.2018,                0.86662,                0.78133,                0.64397,                0.76163,                0.68927,                0.78133,                0.64397,                0.76045,                0.62487,                0.46684,                0.81731,                 1.1628,                0.84376,             4.5301e-05,             4.5301e-05,             4.5301e-05
                      9,                0.51181,                0.84121,                 1.1084,                0.85233,                0.82726,                0.65637,                0.78778,                0.71628,                0.82726,                0.65637,                0.78696,                0.64356,                 0.4546,                0.79276,                 1.0492,                0.84001,             3.4653e-05,             3.4653e-05,             3.4653e-05
                     10,                0.54356,                0.92518,                 1.1098,                0.86697,                0.78805,                0.73666,                0.80424,                0.73386,                0.78805,                0.73666,                  0.804,                  0.659,                0.44491,                0.77751,                0.97084,                0.83787,             2.0235e-05,             2.0235e-05,             2.0235e-05
